movie_id,predicted_revenue
10135.0,159549669.1857331
10136.0,253433973.50160405
10156.0,58556490.68941584
10163.0,120982282.88363707
10185.0,45211778.32727763
10186.0,135093799.14667192
10220.0,82005048.73619351
10229.0,50623805.83998272
10269.0,162919175.9844449
10314.0,85003786.67552432
10362.0,91005388.38222522
10368.0,86283871.8739729
10377.0,85127991.6602138
10414.0,77929655.07904655
10426.0,134335583.16072032
10490.0,67207036.05777752
10564.0,156580391.04360142
10611.0,37251743.963368624
10646.0,95966092.47140431
10691.0,66010800.376995414
10712.0,97642421.49392435
10876.0,125608990.2594082
10890.0,91276316.02781117
10944.0,145087982.6839166
10998.0,129660632.67988092
10999.0,63235508.41344294
11132.0,92599288.29081488
11153.0,186570514.1011217
11186.0,7566548.640027732
11202.0,266068340.87952194
11336.0,104638240.24676901
11397.0,103561594.08669487
11442.0,92521127.66896033
11470.0,89063487.7546325
11478.0,53171194.172762334
11495.0,124147226.54535884
11507.0,107656323.58151895
11545.0,-25054450.170633927
11586.0,193296480.90359202
11592.0,78435878.94906014
11601.0,97902864.50994846
11778.0,334912152.06827176
11804.0,17560732.17727241
11870.0,90246673.20258942
11873.0,112553639.36130413
11917.0,44512380.616003364
11967.0,82071619.76396412
12088.0,36290919.813560486
12094.0,66281728.02258134
12120.0,225102932.50939956
12144.0,153893898.4848872
12149.0,-10290880.174999326
12158.0,163388104.86941668
12162.0,152245464.60437658
12182.0,54428629.71540266
12211.0,220549936.94678304
12212.0,125978503.08742812
12227.0,111304176.24626613
12257.0,68322560.80451366
12403.0,135316388.06490716
12405.0,156580391.04360142
12657.0,121358344.7044417
12837.0,167419051.15571204
13067.0,26586265.93460825
13335.0,155499697.2599766
13435.0,129174626.55390143
13501.0,79684203.58629847
13812.0,80799532.4552983
13888.0,77766153.12193844
13937.0,-10556798.751977623
13938.0,134762705.94663498
13950.0,136117418.27429786
14012.0,47257001.65939322
14024.0,101010646.07824987
14047.0,148590066.00797543
14191.0,148625511.2345799
14283.0,212735558.19188425
14369.0,191260040.45373473
14395.0,311889889.49318767
14434.0,79622049.83453625
14435.0,150016042.9928026
14574.0,16582428.64231965
14729.0,530975940.5953728
14736.0,222385965.88354048
14799.0,-15049192.474609286
15037.0,36392691.51672912
15301.0,44507128.17814323
16222.0,71591369.33188727
16353.0,72942517.9386119
16406.0,87018719.33592296
16769.0,145321257.48060176
16781.0,25231553.606945336
16888.0,174915997.8168666
17127.0,127161114.2972388
17130.0,71219421.47114313
17202.0,106095555.15211836
17708.0,19508394.02894494
17880.0,73167783.10377127
17917.0,182952560.7068114
18041.0,7262009.186178267
18405.0,84437480.65576103
18475.0,64756924.510020465
18736.0,131784135.95859107
18777.0,16157836.21484524
19084.0,86779032.56131202
19265.0,130008890.07280341
19405.0,153079894.8926033
19994.0,157709540.26130894
20009.0,99433733.11268172
20616.0,-72643523.85540336
21345.0,135315999.78457722
21612.0,15572414.031913936
22345.0,102363785.78039804
22556.0,97741837.55087626
22798.0,99557938.09737113
22804.0,70209926.00817287
22824.0,70103145.23639664
23631.0,184941921.41877052
23706.0,125287373.56455106
23759.0,55775285.94162178
24137.0,70435489.11812818
24150.0,163091277.10229704
24206.0,25949552.315223724
24227.0,-47567186.56344749
24940.0,99433733.11268172
25166.0,109089196.53103635
25704.0,92599288.29081488
26352.0,54309407.616295606
26688.0,109921634.4626357
28178.0,52597883.839674145
28211.0,37837166.14629993
28932.0,44181773.42628285
30973.0,90509728.50120187
31246.0,90584355.63041621
31668.0,58251047.51993239
31909.0,111254017.92337075
31915.0,135982687.35162225
33196.0,162118461.21426806
33217.0,103321907.3120839
34549.0,77768534.76107305
34563.0,127400301.87816557
34647.0,252435395.65607688
36047.0,132211580.68832585
36691.0,58516135.22239283
36819.0,136045422.87519833
37003.0,79524054.1813204
37931.0,75924152.45390987
38448.0,94274196.90959886
41823.0,131188138.81056404
42188.0,119864207.82470953
42345.0,98203225.76970825
42684.0,89329406.3316108
43949.0,44285020.899139255
44040.0,13870890.898089737
44214.0,55138256.88302338
44754.0,212810356.34168872
45269.0,122439597.78898647
45272.0,146773965.46148053
45317.0,225525038.6930391
45324.0,44991690.77827647
46889.0,58317303.10848907
47502.0,-5096901.289134994
50601.0,160907084.13151833
51828.0,114085880.18774432
53457.0,44746409.11797121
54518.0,123891806.576181
56601.0,95950026.73843467
57157.0,11101275.74437964
57214.0,39089505.12852749
58680.0,81933810.26205447
59678.0,95714366.9506276
60599.0,18025482.868154466
61752.0,121819732.92327365
61984.0,212587082.27195296
62204.0,67662899.77269796
63020.0,89849508.16846612
64689.0,88707055.22206306
64690.0,31477154.759565264
65086.0,74684021.58419058
67660.0,195186228.506372
68727.0,91638680.51529416
70829.0,96246660.52909449
71688.0,58020475.34136948
73247.0,33619043.6766946
74534.0,87240919.97382826
75674.0,113587517.68859866
75900.0,-33943594.07568014
76726.0,14196217.036902517
77016.0,-24720826.61215672
79777.0,124650521.75581679
82679.0,75099365.44018766
84892.0,75817225.95911628
86825.0,32947726.714285105
86829.0,36095863.74960953
86838.0,143890210.118387
87093.0,25133557.95372954
87729.0,207725447.26782015
87818.0,-2792655.3447313607
88005.0,55246253.26318875
88036.0,104939674.93835926
88641.0,11001859.687427789
96399.0,177810510.64043424
97367.0,176999328.14393225
97370.0,74011701.84087339
97430.0,113399759.73347485
101267.0,72787605.01266935
103731.0,106853771.13806999
107811.0,83749910.80854934
121826.0,40817380.25786185
126319.0,83784291.97141042
129670.0,116695027.68330225
132232.0,146747234.46542892
133694.0,83213895.46050307
134411.0,309384218.50187755
136835.0,23211585.40624842
144340.0,92161268.59598434
152599.0,157736271.25736055
157544.0,82714702.08683953
157849.0,184512517.1263037
158011.0,56976018.04818222
167073.0,83311891.1137189
172391.0,290604589.551141
173931.0,290636329.61580014
179144.0,172389007.37666532
205220.0,24176509.853874117
205596.0,82444605.31577149
208134.0,102405713.87293574
209403.0,29037797.886101365
222899.0,128753593.80209237
222935.0,140037516.29282954
227719.0,118178225.04714555
228970.0,112633172.20686561
232679.0,112633172.20686561
236751.0,27445318.38124776
238603.0,124124396.22136569
239563.0,113169187.55491194
243938.0,94712216.60442936
249164.0,39364672.27698314
253331.0,66472188.5958274
253450.0,77863898.68417412
254904.0,122582760.77421755
256924.0,31671175.008476734
264644.0,7821393.058226079
264656.0,146477137.69436094
264660.0,105336265.73433629
264999.0,110440711.04768965
266856.0,166386816.6257222
268238.0,80703302.919081
280092.0,4485498.067777932
283445.0,82129279.90390816
286565.0,87736579.8548516
287903.0,151571260.19246653
291870.0,96725728.861092
294272.0,732435698.0256808
304357.0,85127991.6602138
316727.0,93509915.83347493
321258.0,69440635.86344126
328425.0,32394948.31164685
332567.0,45264744.83782801
339984.0,130133095.05749285
342521.0,106862142.67872763
